Año,Juego,Recomendaciones
2011,Mount & Blade,1
2011,Mount & Blade: Warband,2
2011,Mount & Blade: With Fire and Sword,1
2011,Napoleon: Total War,1
2011,Neverwinter Nights 2: Platinum,1
2011,NightSky,2
2011,Nuclear Dawn,1
2011,NyxQuest,1
2011,Oddworld: Abe's Exoddus,1
2011,Oddworld: Abe's Oddysee,1
2011,Operation Flashpoint: Dragon Rising,1
2011,Orcs Must Die!,2
2011,Overlord,1
2011,PAYDAY: The Heist,2
2011,Peggle Extreme,1
2011,Poker Night at the Inventory,1
2011,Portal,11
2011,Portal 2,25
2011,Prince of Persia: The Sands of Time,1
2011,Psychonauts,1
2011,Puzzle Pirates,1
2011,Puzzle Quest,3
2011,Quake III Arena,1
2011,R.U.S.E,1
2011,RAGE,2
2011,RIFT,3
2011,Revenge of the Titans,1
2011,Rising Storm/Red Orchestra 2 Multiplayer,3
2011,Rome: Total War,1
2011,Rusty Hearts,1
2011,S.T.A.L.K.E.R.: Clear Sky,1
2011,S.T.A.L.K.E.R.: Shadow of Chernobyl,1
2011,STAR WARS™ Battlefront™ II,1
2011,STAR WARS™ Jedi Knight II: Jedi Outcast™,1
2011,STAR WARS™: Knights of the Old Republic™,1
2011,STAR WARS™: The Force Unleashed™ II,1
2011,Saints Row 2,4
2011,Saints Row: The Third,1
2011,Saints Row: The Third - Initiation Station,1
2011,Section 8: Prejudice,1
2011,Sengoku,1
2011,Serious Sam 3: BFE,1
2011,Sid Meier's Civilization V,2
2011,Space Pirates and Zombies,1
2011,SpaceChem,2
2011,Spiral Knights,6
2011,Street Fighter IV,1
2011,Super Meat Boy,4
2011,Supreme Commander 2,1
2011,Swords and Soldiers HD,1
2011,Terraria,21
2011,The Binding of Isaac,1
2011,The Elder Scrolls IV: Oblivion ,2
2011,The Elder Scrolls V: Skyrim,10
2011,The Witcher 2: Assassins of Kings Enhanced Edition,1
2011,The Witcher: Enhanced Edition,2
2011,Tom Clancy's Ghost Recon: Advanced Warfighter 2,1
2011,Tom Clancy's Splinter Cell: Conviction,1
2011,Total War: SHOGUN 2,5
2011,Trine,1
2011,Uplink,1
2011,VVVVVV,1
2011,Victoria II,1
2011,War Inc. Battlezone,1
2011,"Warhammer 40,000 Space Marine",2
2011,"Warhammer® 40,000™: Dawn of War® II",3
2011,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™",2
2011,"Warhammer® 40,000™: Dawn of War® II – Retribution™",2
2011,Wings of Prey,1
2011,X-COM: UFO Defense,1
2011,Zen Bound® 2,1
2011,Zeno Clash,3
2011,Zombie Driver,1
2012,APB Reloaded,2
2012,Age of Empires Online,4
2012,AirMech,2
2012,Alan Wake,5
2012,Aliens vs. Predator,2
2012,America's Army 3,1
2012,Amnesia: The Dark Descent,2
2012,Anno 2070,1
2012,Arctic Combat,1
2012,Arma 2: Operation Arrowhead,10
2012,Assassin's Creed® III,2
2012,Atom Zombie Smasher ,1
2012,Audiosurf,4
2012,Awesomenauts,5
2012,Back to the Future: Ep 1 - It's About Time,1
2012,Bastion,8
2012,Batman: Arkham Asylum GOTY Edition,1
2012,Beat Hazard,1
2012,BioShock,2
2012,BioShock 2,1
2012,Blacklight: Retribution,11
2012,Bloody Good Time,1
2012,Borderlands,9
2012,Borderlands 2,17
2012,Braid,1
2012,Burnout Paradise: The Ultimate Box,1
2012,Call of Duty,1
2012,Call of Duty 4: Modern Warfare,2
2012,Call of Duty: Black Ops,2
2012,Call of Duty: Black Ops II,1
2012,Call of Duty: Modern Warfare 2,5
2012,Call of Duty: Modern Warfare 3,9
2012,Call of Duty: World at War,1
2012,Castle Crashers,3
2012,Chivalry: Medieval Warfare,4
2012,Cities in Motion,1
2012,Closure,1
2012,Combat Arms,3
2012,Command and Conquer 3: Tiberium Wars,1
2012,Command and Conquer: Red Alert 3,1
2012,Company of Heroes,2
2012,Counter-Strike,3
2012,Counter-Strike: Global Offensive,19
2012,Counter-Strike: Source,14
2012,CrimeCraft GangWars,1
2012,Crusader Kings II,1
2012,Crysis 2 Maximum Edition,2
2012,Crysis Warhead,1
2012,Cthulhu Saves the World ,1
2012,Cubemen,2
2012,DEFCON,1
2012,DOOM 3: BFG Edition,1
2012,Dark Souls: Prepare to Die Edition,1
2012,Darksiders,1
2012,Day of Defeat: Source,6
2012,Dead Island,4
2012,Dead Pixels,1
2012,Dear Esther,3
2012,"Demolition, Inc.",1
2012,Deus Ex: Game of the Year Edition,2
2012,Deus Ex: Human Revolution,3
2012,DiRT 3,1
2012,Dinner Date,1
2012,Dishonored,6
2012,District 187,1
2012,Don't Starve,4
2012,Dungeon Defenders,7
2012,Dungeon Siege III,1
2012,Dungeons & Dragons Online®,2
2012,E.Y.E: Divine Cybermancy,3
2012,Empire: Total War,1
2012,Endless Space,2
2012,English Country Tune,1
2012,Europa Universalis III,1
2012,FTL: Faster Than Light,7
2012,Fallen Earth,3
2012,Fallout,1
2012,Fallout 3 - Game of the Year Edition,3
2012,Fallout: New Vegas,5
2012,Family Guy™: Back to the Multiverse,1
2012,Far Cry,1
2012,Far Cry® 3,3
2012,Fieldrunners,1
2012,Football Manager 2012,1
2012,Front Mission Evolved,1
2012,GRID,1
2012,Galactic Civilizations II: Ultimate Edition,1
2012,GameMaker: Studio,1
2012,Garry's Mod,33
2012,Gotham City Impostors,1
2012,Gotham City Impostors: Free To Play,5
2012,Grand Theft Auto IV,2
2012,Grand Theft Auto: San Andreas,2
2012,Gratuitous Space Battles,1
2012,Gumboy Tournament,1
2012,Half-Life,3
2012,Half-Life 2,11
2012,Half-Life 2: Episode One,1
2012,Hero Academy,1
2012,Hitman: Absolution,1
2012,Hitman: Blood Money,1
2012,Horrid Henry,1
2012,Hotline Miami,1
2012,IL-2 Sturmovik: 1946,1
2012,Indie Game: The Movie,1
2012,Insaniquarium! Deluxe,1
2012,James Cameron’s Avatar™: The Game,1
2012,Just Cause 2,9
2012,Killing Floor,9
2012,L.A. Noire,1
2012,LEGO Batman 2,1
2012,LIMBO,1
2012,Left 4 Dead,5
2012,Left 4 Dead 2,30
2012,Little Inferno,1
2012,Loom,1
2012,MX vs. ATV Reflex,1
2012,Mafia II,1
2012,Magicka,1
2012,Mass Effect,2
2012,Mass Effect 2,2
2012,Max Payne 3,4
2012,Men of War,1
2012,Men of War: Assault Squad,1
2012,Metro 2033,4
2012,MicroVolts Surge,2
2012,Microsoft Flight,3
2012,Might & Magic: Heroes VI,1
2012,Mirror's Edge,6
2012,Moonbase Alpha,1
2012,Mount & Blade: Warband,8
2012,Mount & Blade: With Fire and Sword,1
2012,Napoleon: Total War,1
2012,Nation Red,1
2012,Natural Selection 2,1
2012,Need for Speed: Hot Pursuit,1
2012,Oddworld: Abe's Oddysee,1
2012,"On the Rain-Slick Precipice of Darkness, Episode Two",1
2012,Orcs Must Die!,1
2012,Orcs Must Die! 2,5
2012,PAYDAY: The Heist,7
2012,Penumbra: Black Plague,1
2012,PlanetSide 2,16
2012,Poker Night at the Inventory,5
2012,Port Royale 3,1
2012,Portal,8
2012,Portal 2,29
2012,Primal Carnage,2
2012,Prototype,1
2012,Psychonauts,1
2012,Puzzle Agent,1
2012,Puzzle Pirates,1
2012,Quake,1
2012,Quantum Conundrum,3
2012,R.U.S.E,2
2012,Ravaged Zombie Apocalypse,1
2012,Rayman Origins,1
2012,Realm of the Mad God,16
2012,Red Faction: Armageddon,1
2012,Red Faction: Guerrilla Steam Edition,1
2012,Red Orchestra: Ostfront 41-45,1
2012,Renegade Ops,1
2012,Retro City Rampage™ DX,1
2012,Risen 2 - Dark Waters,1
2012,Rising Storm/Red Orchestra 2 Multiplayer,5
2012,Rochard,1
2012,Rome: Total War,1
2012,S.T.A.L.K.E.R.: Call of Pripyat,1
2012,S.T.A.L.K.E.R.: Clear Sky,1
2012,S.T.A.L.K.E.R.: Shadow of Chernobyl,1
2012,STAR WARS™ Battlefront™ II,2
2012,STAR WARS™ Jedi Knight: Jedi Academy™,1
2012,STAR WARS™: Knights of the Old Republic™,1
2012,Saints Row: The Third,6
2012,Saints Row: The Third - Initiation Station,1
2012,Section 8: Prejudice,1
2012,Serious Sam 3: BFE,2
2012,Shoot Many Robots,2
2012,Sid Meier's Civilization V,4
2012,Sins of a Solar Empire: Rebellion,1
2012,Sleeping Dogs™,1
2012,Sniper Elite,1
2012,Solar 2,1
2012,Sonic CD,1
2012,Sonic Generations,1
2012,SpaceChem,1
2012,Spec Ops: The Line,2
2012,Spiral Knights,6
2012,Spore,1
2012,Super Crate Box,1
2012,Super Hexagon,1
2012,Super Meat Boy,3
2012,Super Monday Night Combat,6
2012,Supreme Commander 2,1
2012,Supreme Commander: Forged Alliance,1
2012,Symphony,1
2012,Team Fortress Classic,1
2012,Terraria,37
2012,The Binding of Isaac,10
2012,The Chronicles of Riddick: Assault on Dark Athena,1
2012,The Elder Scrolls III: Morrowind,1
2012,The Elder Scrolls V: Skyrim,25
2012,The Lord of the Rings Online™,1
2012,The Lord of the Rings: War in the North,3
2012,The Misadventures of P.B. Winterbottom,2
2012,The Walking Dead,12
2012,The Witcher 2: Assassins of Kings Enhanced Edition,1
2012,Titan Quest: Immortal Throne,1
2012,To the Moon,2
2012,Tobe's Vertical Adventure,1
2012,Tom Clancy's Splinter Cell: Conviction,1
2012,Tomb Raider: Legend,1
2012,Torchlight,2
2012,Torchlight II,1
2012,Total War Battles: SHOGUN,1
2012,Total War: SHOGUN 2,4
2012,Toy Soldiers,1
2012,TrackMania Nations Forever,1
2012,Train Simulator,2
2012,Trials 2: Second Edition,1
2012,Tribes: Ascend,8
2012,Trine,2
2012,Tropico 3: Absolute Power,1
2012,Tropico 4,2
2012,Two Worlds II,1
2012,Unmechanical,1
2012,Unreal Tournament 2004,1
2012,Unreal Tournament 3: Black Edition,1
2012,Uplink,1
2012,VVVVVV,1
2012,Vampire: The Masquerade - Bloodlines,2
2012,WARP,1
2012,War Inc. Battlezone,2
2012,"Warhammer 40,000 Space Marine",1
2012,"Warhammer 40,000: Dawn of War – Dark Crusade",1
2012,"Warhammer® 40,000™: Dawn of War® II",1
2012,"Warhammer® 40,000™: Dawn of War® II – Retribution™",5
2012,Warlock - Master of the Arcane,1
2012,Waves,1
2012,Westward,1
2012,Wolfenstein 3D,1
2012,World of Goo,1
2012,Worms Reloaded,1
2012,X-COM: Apocalypse,1
2012,XCOM: Enemy Unknown,1
2012,Zeno Clash,1
2013,7 Days to Die,8
2013,8BitMMO,10
2013,A.V.A - Alliance of Valiant Arms,1
2013,APB Reloaded,17
2013,Ace of Spades,21
2013,Afterfall InSanity - Dirty Arena Edition,1
2013,Afterfall InSanity Extended Edition,1
2013,Age of Empires II: HD Edition,14
2013,Age of Empires Online,1
2013,Age of Empires® III: Complete Collection,4
2013,AirBuccaneers,1
2013,AirMech,14
2013,Akaneiro: Demon Hunters,1
2013,Alan Wake,8
2013,Alice: Madness Returns,1
2013,Alien Breed: Impact,1
2013,Aliens versus Predator Classic 2000,1
2013,Aliens vs. Predator,2
2013,Aliens: Colonial Marines,2
2013,Alpha Protocol,1
2013,America's Army 3,1
2013,America's Army: Proving Grounds,3
2013,Amnesia: The Dark Descent,5
2013,Analogue: A Hate Story,1
2013,Angry Video Game Nerd Adventures,1
2013,Anno 2070,2
2013,Antichamber,18
2013,Archeblade,5
2013,Arctic Combat,2
2013,Arma 2,2
2013,Arma 2: DayZ Mod,9
2013,Arma 2: Operation Arrowhead,19
2013,Arma 3,23
2013,ArtRage 4,1
2013,Assassin's Creed II,3
2013,Assassin's Creed IV Black Flag,18
2013,Assassin's Creed® III,10
2013,Assetto Corsa,1
2013,Audiosurf,10
2013,Audiosurf 2,5
2013,Awesomenauts,30
2013,BIT.TRIP BEAT,1
2013,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,3
2013,BIT.TRIP RUNNER,2
2013,Back to the Future: Ep 1 - It's About Time,1
2013,Bad Rats,3
2013,Baldur's Gate: Enhanced Edition,1
2013,Ballpoint Universe: Infinite,1
2013,Bastion,17
2013,Batman: Arkham Asylum GOTY Edition,7
2013,Batman: Arkham City GOTY,20
2013,Batman™: Arkham Origins,12
2013,Battlefield 2,6
2013,Battlefield: Bad Company 2,3
2013,Beat Hazard,3
2013,Betrayer,1
2013,Beyond Good & Evil,1
2013,Binary Domain,1
2013,BioShock,9
2013,BioShock 2,1
2013,BioShock Infinite,60
2013,Blacklight: Retribution,25
2013,Blade Symphony,1
2013,Blades of Time,2
2013,Bleed,2
2013,Blockland,3
2013,Blood Bowl: Chaos Edition,1
2013,Bloody Trapland,2
2013,Borderlands,9
2013,Borderlands 2,81
2013,Brawl Busters,1
2013,Broken Sword 5 - the Serpent's Curse,1
2013,Brothers - A Tale of Two Sons,4
2013,Brütal Legend,5
2013,Bulletstorm,2
2013,Bully: Scholarship Edition,4
2013,Burnout Paradise: The Ultimate Box,6
2013,Bus-Simulator 2012,1
2013,Call of Duty 4: Modern Warfare,2
2013,Call of Duty: Black Ops,2
2013,Call of Duty: Black Ops - OSX,1
2013,Call of Duty: Black Ops II,11
2013,Call of Duty: Ghosts,12
2013,Call of Duty: Modern Warfare 2,9
2013,Call of Duty: Modern Warfare 3,9
2013,Call of Duty: United Offensive,1
2013,Call of Duty: World at War,7
2013,Call of Juarez Gunslinger,6
2013,Capsized,1
2013,Cargo Commander,1
2013,Cargo! - The quest for gravity,1
2013,Castle Crashers,18
2013,Castle Story,1
2013,Castlevania: Lords of Shadow - Ultimate Edition,1
2013,Cave Story+,2
2013,Chains,1
2013,Champions of Regnum,1
2013,Chivalry: Medieval Warfare,56
2013,Cities XL Platinum,1
2013,Cities in Motion 2,1
2013,Closure,1
2013,Combat Arms,5
2013,Command and Conquer: Red Alert 3,3
2013,Command and Conquer: Red Alert 3 - Uprising,1
2013,Commander Keen Complete Pack,1
2013,Company of Heroes,5
2013,Company of Heroes 2,10
2013,Contagion,4
2013,Cortex Command,1
2013,Cossacks: Back to War,1
2013,Counter-Strike,7
2013,Counter-Strike: Condition Zero,1
2013,Counter-Strike: Global Offensive,164
2013,Counter-Strike: Source,37
2013,Cricket Revolution,1
2013,CrimeCraft GangWars,3
2013,Critical Mass,1
2013,Crusader Kings II,7
2013,Cry of Fear,13
2013,Crysis 2 Maximum Edition,2
2013,Crysis Warhead,1
2013,DCS World,2
2013,DEFCON,1
2013,DLC Quest,9
2013,DOOM 3: BFG Edition,1
2013,Dark Souls: Prepare to Die Edition,19
2013,Darkest Hour: A Hearts of Iron Game,1
2013,Darksiders,2
2013,Darksiders II,6
2013,Day One: Garry's Incident,1
2013,Day of Defeat,1
2013,Day of Defeat: Source,5
2013,DayZ,58
2013,Dead Island,11
2013,Dead Island Riptide,5
2013,Dead Pixels,2
2013,Dead Rising 2,1
2013,Dead Sky,1
2013,Dead Space,7
2013,Dead Space 2,1
2013,Deadlight,4
2013,Deadpool,1
2013,Dear Esther,6
2013,Death Track: Resurrection,1
2013,Defender's Quest: Valley of the Forgotten,1
2013,Defiance,8
2013,Desktop Dungeons,1
2013,Deus Ex: Game of the Year Edition,1
2013,Deus Ex: Human Revolution,5
2013,Deus Ex: Human Revolution - Director's Cut,2
2013,DiRT 3,3
2013,Dinner Date,1
2013,Dino D-Day,16
2013,Dishonored,20
2013,Divekick,1
2013,DmC Devil May Cry,4
2013,Don't Starve,37
2013,Dragon Age: Origins,1
2013,Dragon Age: Origins - Ultimate Edition,2
2013,Dragon Nest,4
2013,Draw a Stickman: EPIC,2
2013,Driver San Francisco,2
2013,Driver: Parallel Lines,1
2013,Drunken Robot Pornography,1
2013,DuckTales Remastered,2
2013,Duke Nukem 3D: Megaton Edition,5
2013,Duke Nukem Forever,1
2013,Dungeon Defenders,9
2013,Dungeon Party,1
2013,Dungeon Siege III,1
2013,Dungeon of the Endless,3
2013,Dungeonland,6
2013,Dungeons & Dragons Online®,1
2013,Dust: An Elysian Tail,7
2013,Dustforce,1
2013,Dwarfs F2P,3
2013,Dwarfs!?,2
2013,Dysfunctional Systems: Learning to Manage Chaos,1
2013,Dystopia,2
2013,E.Y.E: Divine Cybermancy,1
2013,EDGE,2
2013,EVE Online,3
2013,Edna & Harvey: Harvey's New Eyes,1
2013,Electronic Super Joy,6
2013,Elsword,4
2013,Empire: Total War,9
2013,Endless Space,3
2013,Eryi's Action,1
2013,Escape Goat,1
2013,Euro Truck Simulator,1
2013,Euro Truck Simulator 2,10
2013,Europa Universalis IV,3
2013,Eversion ,1
2013,Evil Genius,1
2013,Evoland,1
2013,F.E.A.R. 3,1
2013,F1 2012,1
2013,F1 2013,1
2013,FEZ,6
2013,FINAL FANTASY VII,6
2013,FINAL FANTASY VIII,3
2013,FTL: Faster Than Light,22
2013,FUEL,1
2013,Fable - The Lost Chapters,1
2013,Fable III,1
2013,Faerie Solitaire,2
2013,Fallen Earth,5
2013,Fallen Enchantress: Legendary Heroes,2
2013,Fallout 3,2
2013,Fallout 3 - Game of the Year Edition,7
2013,Fallout: New Vegas,18
2013,Family Guy™: Back to the Multiverse,1
2013,Far Cry 2,3
2013,Far Cry® 3,24
2013,Far Cry® 3 Blood Dragon,4
2013,Farming Simulator 2013,8
2013,FlatOut,1
2013,FlatOut: Ultimate Carnage,1
2013,Football Manager 2013,1
2013,Forge,1
2013,Forge Quest,1
2013,Fortix,1
2013,Fractal: Make Blooms Not War,1
2013,Frontline Tactics,1
2013,GRID,2
2013,GRID 2,5
2013,Galactic Civilizations II: Ultimate Edition,1
2013,Game Dev Tycoon,20
2013,GameMaker: Studio,1
2013,Garry's Mod,316
2013,Gear Up,1
2013,Gish,1
2013,Gnomoria,2
2013,God Mode,2
2013,Godus,3
2013,Gone Home,8
2013,Gotham City Impostors: Free To Play,15
2013,Gothic II: Gold Edition,1
2013,Grand Theft Auto III,1
2013,Grand Theft Auto IV,14
2013,Grand Theft Auto: Episodes from Liberty City,1
2013,Grand Theft Auto: San Andreas,5
2013,Grand Theft Auto: Vice City,1
2013,Gratuitous Space Battles,1
2013,Grim Dawn,2
2013,Guncraft,2
2013,Gunpoint,11
2013,Guns of Icarus Online,7
2013,Half-Life,8
2013,Half-Life 2,35
2013,Half-Life 2: Deathmatch,5
2013,Half-Life 2: Episode One,3
2013,Half-Life 2: Episode Two,1
2013,Half-Life 2: Lost Coast,3
2013,Half-Life Deathmatch: Source,1
2013,Half-Life: Opposing Force,1
2013,Half-Life: Source,2
2013,Hamilton's Great Adventure,1
2013,Hammerwatch,2
2013,Hard Reset,2
2013,Hate Plus,1
2013,Haunted Memories,5
2013,Hearts of Iron III,2
2013,Hitman 2: Silent Assassin,1
2013,Hitman: Absolution,8
2013,Hitman: Blood Money,1
2013,Home,1
2013,Hotline Miami,21
2013,How to Survive,3
2013,Indie Game: The Movie,1
2013,Infestation: Survivor Stories Classic,15
2013,Injustice: Gods Among Us Ultimate Edition,2
2013,Insurgency,4
2013,Interstellar Marines,3
2013,Intrusion 2,1
2013,Inversion™,1
2013,Iron Front : Liberation 1944,1
2013,Ironclad Tactics,2
2013,Jack Lumber,1
2013,Jamestown,1
2013,Jurassic Park: The Game,1
2013,Just Cause 2,38
2013,Kenshi,4
2013,Kerbal Space Program,27
2013,Killing Floor,74
2013,Killing Floor Mod: Defence Alliance 2,1
2013,King Arthur's Gold,9
2013,Kingdom Wars,1
2013,Kingdoms Rise,2
2013,Kingdoms of Amalur: Reckoning™,1
2013,King’s Bounty: Legions,1
2013,Knock-knock,1
2013,Krater,1
2013,L.A. Noire,4
2013,LEGO® MARVEL Super Heroes,6
2013,LEGO® Star Wars™: The Complete Saga,1
2013,LEGO® The Lord of the Rings™,1
2013,LIMBO,12
2013,Left 4 Dead,8
2013,Left 4 Dead 2,219
2013,Legend of Dungeon,1
2013,Legend of Grimrock,2
2013,Little Inferno,12
2013,Loadout,8
2013,Lone Survivor: The Director's Cut,1
2013,Long Live The Queen,1
2013,MDK 2,1
2013,MX vs. ATV Reflex,3
2013,Machinarium,2
2013,Mafia II,8
2013,Magic 2014 ,3
2013,Magic: The Gathering - Duels of the Planeswalkers 2013,1
2013,Magicka,15
2013,Majesty 2 Collection,1
2013,MapleStory,8
2013,March of War,1
2013,Mark of the Ninja,3
2013,Mars: War Logs,1
2013,Marvel Heroes 2016,4
2013,Marvel Puzzle Quest,1
2013,Mass Effect,4
2013,Mass Effect 2,5
2013,Max Payne,1
2013,Max Payne 3,7
2013,McPixel,6
2013,Medal of Honor(TM) Single Player,4
2013,Medieval II: Total War,3
2013,Men of War: Assault Squad,1
2013,Mercenary Kings,1
2013,Metal Drift,1
2013,Metro 2033,6
2013,Metro: Last Light,12
2013,Miasmata,1
2013,MicroVolts Surge,9
2013,Microsoft Flight,1
2013,Might & Magic: Duel of Champions,4
2013,Mini Motor Racing EVO,1
2013,Mirror's Edge,10
2013,MirrorMoon EP,1
2013,Monaco,6
2013,Monday Night Combat,1
2013,Monster Loves You!,2
2013,Moonbase Alpha,4
2013,Mortal Kombat Kollection,1
2013,Mortal Kombat Komplete Edition,2
2013,Mount & Blade,1
2013,Mount & Blade: Warband,25
2013,Mount & Blade: With Fire and Sword,3
2013,NBA 2K13,2
2013,Napoleon: Total War,2
2013,Nation Red,2
2013,Natural Selection 2,13
2013,Naval Warfare,1
2013,Need for Speed: Hot Pursuit,1
2013,Need for Speed: Undercover,1
2013,Nether,4
2013,Neverwinter,15
2013,Nexuiz,1
2013,Nexus: The Jupiter Incident,1
2013,No More Room in Hell,63
2013,No Time to Explain,1
2013,Nuclear Dawn,1
2013,ORION: Prelude,2
2013,Oddworld: Abe's Oddysee,2
2013,Of Orcs And Men,1
2013,Omegalodon,1
2013,Omerta - City of Gangsters,2
2013,"On the Rain-Slick Precipice of Darkness, Episode One",1
2013,Orcs Must Die!,1
2013,Orcs Must Die! 2,9
2013,Outlast,8
2013,Overgrowth,3
2013,PAYDAY 2,88
2013,PAYDAY: The Heist,23
2013,POSTAL 2,5
2013,Panzar,1
2013,"Papers, Please",10
2013,Paranautical Activity: Deluxe Atonement Edition,2
2013,Paranormal,1
2013,Path of Exile,36
2013,Peggle Deluxe,2
2013,Peggle Extreme,3
2013,Penumbra: Overture,1
2013,Pinball Arcade,3
2013,Pinball FX2,7
2013,"Pirates, Vikings, & Knights II",1
2013,Pixel Piracy,3
2013,PlanetSide 2,82
2013,Planetary Annihilation,2
2013,Poker Night 2,9
2013,Poker Night at the Inventory,7
2013,Pool Nation,1
2013,Portal,17
2013,Portal 2,68
2013,Portal 2 - The Final Hours,1
2013,Post Apocalyptic Mayhem,1
2013,Primal Carnage,6
2013,Prime World: Defenders,2
2013,Prison Architect,5
2013,Pro Cycling Manager 2013,1
2013,Pro Evolution Soccer 2013,1
2013,Project Zomboid,3
2013,Prototype,1
2013,Psychonauts,5
2013,Puzzle Agent,1
2013,R.U.S.E,1
2013,RACE 07,2
2013,RAGE,5
2013,RIFT,11
2013,RPG Maker VX Ace,2
2013,RUSH,2
2013,Race The Sun,2
2013,RaceRoom Racing Experience ,6
2013,Ragnarok Online 2,2
2013,Ravaged Zombie Apocalypse,2
2013,Rayman Legends,1
2013,Rayman Origins,1
2013,Realm of the Mad God,23
2013,Receiver,1
2013,Recettear: An Item Shop's Tale,1
2013,Red Faction,1
2013,Red Orchestra: Ostfront 41-45,1
2013,Remember Me,4
2013,Renaissance Heroes,1
2013,Resident Evil 5 / Biohazard 5,1
2013,Resident Evil 6 / Biohazard 6,2
2013,Reus,7
2013,Rhythm Zone,1
2013,Ricochet,1
2013,Ride to Hell: Retribution,1
2013,Ridge Racer™ Unbounded,1
2013,Rise of the Triad,4
2013,Rising Storm/Red Orchestra 2 Multiplayer,20
2013,Risk of Rain,16
2013,Rochard,2
2013,Rocksmith 2014,3
2013,Rogue Legacy,12
2013,RollerCoaster Tycoon 3: Platinum!,2
2013,Rome: Total War,4
2013,Rust,43
